,month,date,private,nonfarm,goods,service,mine_log,leasure,manufacturing,gov,retail,trans_util,ng_price_ind
,200901,2009-01-01,111495,134074,19889,114185,761,13222,12561,22579,14794.5,25433,7.5
,200902,2009-02-01,110756,133332,19575,113757,749,13193,12380,22576,14719.4,25286,6.43
,200903,2009-03-01,109969,132529,19227,113302,728,13127,12208,22560,14650.7,25140,5.69
,200904,2009-04-01,109158,131835,18894,112941,710,13056,12030,22677,14563.1,24960,5.05
,200905,2009-05-01,108874,131491,18655,112836,693,13106,11862,22617,14558.3,24909,4.4
,200906,2009-06-01,108450,131026,18422,112604,686,13076,11726,22576,14541.0,24852,4.56
,200907,2009-07-01,108164,130685,18278,112407,678,13078,11668,22521,14488.9,24750,4.68
,200908,2009-08-01,107964,130501,18151,112350,670,13046,11626,22537,14480.5,24713,4.38
,200909,2009-09-01,107808,130259,18043,112216,665,13054,11591,22451,14450.2,24660,3.89
,200910,2009-10-01,107537,130061,17915,112146,661,12995,11538,22524,14381.6,24553,4.82
,200911,2009-11-01,107540,130073,17869,112204,664,12986,11509,22533,14379.4,24535,5.44
,200912,2009-12-01,107322,129804,17792,112012,663,12944,11475,22482,14334.8,24425,5.97
,201001,2010-01-01,107316,129807,17707,112100,667,12932,11460,22491,14401.0,24492,6.93
,201002,2010-02-01,107239,129715,17627,112088,674,12927,11453,22476,14397.1,24478,6.76
,201003,2010-03-01,107377,129895,17672,112223,682,12943,11453,22518,14446.7,24537,6.01
,201004,2010-04-01,107563,130132,17729,112403,687,12979,11489,22569,14427.2,24524,5.12
,201005,2010-05-01,107670,130666,17742,112924,697,13012,11525,22996,14438.6,24542,5.08
,201006,2010-06-01,107790,130530,17763,112767,702,13034,11545,22740,14442.1,24567,5.04
,201007,2010-07-01,107873,130442,17777,112665,708,13048,11561,22569,14449.2,24590,5.49
,201008,2010-08-01,108017,130437,17793,112644,716,13081,11553,22420,14454.3,24592,5.37
,201009,2010-09-01,108126,130373,17787,112586,723,13137,11563,22247,14478.3,24639,4.61
,201010,2010-10-01,108345,130642,17801,112841,731,13127,11562,22297,14510.7,24692,4.73
,201011,2010-11-01,108478,130765,17827,112938,736,13126,11585,22287,14486.0,24681,4.6
,201012,2010-12-01,108573,130839,17796,113043,734,13157,11595,22266,14474.1,24704,5.5
,201101,2011-01-01,108601,130859,17784,113075,736,13149,11621,22258,14537.1,24739,5.66
,201102,2011-02-01,108857,131072,17844,113228,739,13188,11654,22215,14558.2,24806,5.77
,201103,2011-03-01,109112,131304,17906,113398,754,13247,11675,22192,14589.2,24861,5.21
,201104,2011-04-01,109441,131625,17957,113668,768,13298,11704,22184,14646.2,24951,5.34
,201105,2011-05-01,109591,131720,18007,113713,778,13293,11713,22129,14645.8,24965,5.21
,201106,2011-06-01,109791,131955,18045,113910,790,13343,11727,22164,14681.7,25024,5.21
,201107,2011-07-01,109967,132016,18094,113922,801,13370,11746,22049,14725.4,25076,5.05
,201108,2011-08-01,110121,132138,18120,114018,804,13395,11764,22017,14719.4,25085,5.21
,201109,2011-09-01,110391,132374,18167,114207,814,13426,11769,21983,14743.8,25122,4.84
,201110,2011-10-01,110580,132578,18188,114390,820,13464,11780,21998,14749.5,25150,4.71
,201111,2011-11-01,110739,132710,18187,114523,824,13511,11770,21971,14754.8,25169,4.64
,201112,2011-12-01,110960,132914,18244,114670,831,13538,11802,21954,14747.0,25182,4.59
,201201,2012-01-01,111323,133269,18304,114965,840,13600,11838,21946,14817.1,25285,4.58
,201202,2012-02-01,111584,133531,18334,115197,845,13641,11860,21947,14795.3,25301,4.19
,201203,2012-03-01,111826,133769,18372,115397,849,13706,11898,21943,14826.1,25343,3.71
,201204,2012-04-01,111921,133852,18384,115468,850,13709,11916,21931,14837.7,25357,3.21
,201205,2012-05-01,112040,133951,18386,115565,855,13705,11927,21911,14834.4,25397,3.02
,201206,2012-06-01,112093,134023,18411,115612,854,13702,11936,21930,14817.5,25386,3.34
,201207,2012-07-01,112263,134176,18447,115729,851,13735,11964,21913,14812.4,25396,3.6
,201208,2012-08-01,112430,134346,18459,115887,851,13804,11960,21916,14817.4,25420,3.83
,201209,2012-09-01,112610,134535,18461,116074,846,13872,11954,21925,14853.7,25457,3.56
,201210,2012-10-01,112790,134693,18472,116221,837,13883,11961,21903,14869.0,25493,3.94
,201211,2012-11-01,112968,134851,18477,116374,843,13910,11950,21883,14944.7,25562,4.46
,201212,2012-12-01,113201,135088,18532,116556,848,13978,11960,21887,14913.8,25573,4.73
,201301,2013-01-01,113414,135283,18580,116703,851,14037,11983,21869,14936.3,25613,4.58
,201302,2013-02-01,113681,135562,18638,116924,858,14082,11996,21881,14951.4,25629,4.54
,201303,2013-03-01,113828,135698,18660,117038,859,14113,11999,21870,14949.1,25620,4.59
,201304,2013-04-01,114021,135890,18653,117237,857,14152,12000,21869,14968.2,25656,4.95
,201305,2013-05-01,114250,136114,18691,117423,862,14193,12000,21864,15002.0,25692,5.0
,201306,2013-06-01,114455,136295,18724,117571,865,14252,12004,21840,15048.5,25753,4.9
,201307,2013-07-01,114585,136400,18705,117695,862,14288,11984,21815,15089.7,25783,4.47
,201308,2013-08-01,114811,136642,18756,117886,864,14327,12014,21831,15129.5,25845,4.31
,201309,2013-09-01,114996,136831,18810,118021,868,14339,12032,21835,15162.7,25918,4.36
,201310,2013-10-01,115226,137056,18857,118199,870,14395,12056,21830,15196.3,25946,4.36
,201311,2013-11-01,115480,137323,18911,118412,869,14432,12079,21843,15212.3,25993,4.62
,201312,2013-12-01,115570,137390,18881,118509,866,14454,12083,21820,15287.7,26084,4.97
,201401,2014-01-01,115753,137567,18937,118630,871,14489,12081,21814,15262.9,26095,5.69
